gene_id,cluster,Dmel,Dmel_gene,Dmel_function,nr,uni_sprot,Description,Preferred_name,PFAMs
Dnig.3LG0008210.1,18,FBpp0076098,Cdk8,Cyclin-dependent kinase 8,GFG33784.1,sp|Q8JH47|CDK8_DANRE,It is involved in the biological process described with protein phosphorylation,CDK19,Pkinase
Dnig.3LG0008220.1,20,FBpp0300435,CG33172,No description,GFG33762.1,sp|A7Z052|WDR6_BOVIN,,,
Dnig.3LG0008270.1,10,FBpp0112066,GAPcenA,GTPase activating protein and centrosome-associated,XP_023718863.1,sp|A2AWA9|RBGP1_MOUSE,Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity,RABGAP1,"DUF3694,PID,RabGAP-TBC"
Dnig.3LG0008280.1,17,FBpp0293588,Epg5,ectopic P-granules autophagy protein 5,XP_021918511.1,sp|Q0IEK6|EPG5_AEDAE,It is involved in the biological process described with autophagy,EPG5,-
Dnig.3LG0008310.1,7,FBpp0082777,CG14892,No description,XP_021918508.1,sp|P14272|KLKB1_RAT,Trypsin-like serine protease,-,"TSP_1,Trypsin"
Dnig.3LG0008330.1,6,FBpp0289888,MED9,Mediator complex subunit 9,GFG40280.1,sp|A1ZB42|MED9_DROME,Mediator of RNA polymerase II transcription subunit,-,Med9
Dnig.3LG0008340.1,10,,,,TGZ50006.1,sp|Q8BJ25|THAP3_MOUSE,"Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.",THAP3,THAP
Dnig.3LG0008410.1,1,,,,XP_023725500.1,,-,-,-
Dnig.3LG0008420.1,19,FBpp0070346,trr,trithorax-related,GFG37335.1,sp|Q8IRW8|TRR_DROME,Zinc ion binding. It is involved in the biological process described with,KMT2D,"FYRC,FYRN,PHD,SET,zf-HC5HC2H,zf-HC5HC2H_2"
Dnig.3LG0008430.1,9,,,,XP_023726326.1,sp|Q96DM1|PGBD4_HUMAN,microtubule motor activity,KIF3C,Kinesin
Dnig.3LG0008440.1,5,,,,,,,,
Dnig.3LG0008450.1,8,FBpp0292908,Npc1a,Niemann-Pick type C-1a,XP_021920375.1,sp|O35604|NPC1_MOUSE,It is involved in the biological process described with cholesterol transport,NPC1,"NPC1_N,Patched,Sterol-sensing"
Dnig.3LG0008470.1,2,FBpp0292193,CG42726,No description,,sp|Q52KB5|ZBT24_DANRE,,,
Dnig.3LG0008480.1,17,FBpp0290226,CG34150,No description,XP_022909562.1,sp|A5PLG0|LYRM7_DANRE,respiratory chain complex III assembly,-,Complex1_LYR
Dnig.3LG0008490.1,12,FBpp0080088,kuz,kuzbanian,XP_023703399.1,sp|O77633|ADA10_PIG,Homologues of snake disintegrins,ADAM10,"Disintegrin,Pep_M12B_propep,Reprolysin_2,Reprolysin_5"
Dnig.3LG0008510.1,18,FBpp0075940,CG7638,No description,XP_021920252.1,sp|Q8C2L6|T161B_MOUSE,Predicted transmembrane protein 161AB,TMEM161B,Tmemb_161AB
Dnig.3LG0008520.1,5,,,,XP_023703394.1,sp|Q9ERE8|TLRN1_MOUSE,Mesoderm development candidate 1,MESDC1,-
Dnig.3LG0008600.1,13,FBpp0085693,CG7137,No description,XP_019865555.1,sp|Q9DB85|RRP8_MOUSE,Hypothetical methyltransferase,RRP8,Methyltransf_8
Dnig.3LG0008610.1,11,FBpp0309291,pen-2,presenilin enhancer,PSN34701.1,sp|Q86BE9|PEN2_DROME,Gamma-secretase subunit,PSENEN,PEN-2
Dnig.3LG0008620.1,18,FBpp0071517,MFS16,Major Facilitator Superfamily Transporter 16,XP_011333937.1,sp|Q8TED4|G6PT3_HUMAN,Major Facilitator Superfamily,SLC37A1,MFS_1
Dnig.3LG0008630.1,18,FBpp0309334,Sik3,Salt-inducible kinase 3,XP_021933135.1,sp|Q6P4S6|SIK3_MOUSE,protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation,SIK3,"KA1,Pkinase"
Dnig.3LG0008650.1,2,FBpp0423162,ras,raspberry,XP_021935703.1,sp|A0JNA3|IMDH1_BOVIN,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth",IMPDH2,"CBS,IMPDH"
Dnig.3LG0008670.1,13,FBpp0082522,ATPsynO,"ATP synthase, oligomycin sensitivity conferring protein",XP_023934121.1,sp|Q24439|ATPO_DROME,ATP synthase delta (OSCP) subunit,ATP5O,OSCP
Dnig.3LG0008680.1,13,FBpp0307983,eIF2gamma,eukaryotic translation initiation factor 2 subunit gamma,XP_015524960.1,sp|F1QGW6|IF2G_DANRE,"Initiation factor eIF2 gamma, C terminal",eif2s3,"Chromo,GTP_EFTU,GTP_EFTU_D2,Pre-SET,SET,eIF2_C"
Dnig.3LG0008690.1,14,FBpp0074227,CG5800,No description,XP_021913056.1,sp|Q80Y44|DDX10_MOUSE,RNA helicase,DDX10,"DEAD,DUF4217,Helicase_C"
Dnig.3LG0008720.1,20,FBpp0074227,CG5800,No description,XP_021913056.1,sp|Q80Y44|DDX10_MOUSE,RNA helicase,DDX10,"DEAD,DUF4217,Helicase_C"
Dnig.3LG0009100.1,15,,,,XP_044007521.1,sp|Q9JKP8|CHRC1_MOUSE,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,CHRAC1,CBFD_NFYB_HMF
Dnig.3LG0009110.1,19,FBpp0311241,mal,maroon-like,XP_021941382.1,sp|Q9N0E7|MOCOS_BOVIN,Sulfurates the molybdenum cofactor. Sulfation of molybdenum is essential for xanthine dehydrogenase (XDH) and aldehyde oxidase (ADO) enzymes in which molybdenum cofactor is liganded by 1 oxygen and 1 sulfur atom in active form,MOCOS,"Aminotran_5,MOSC,MOSC_N"
Dnig.3LG0009120.1,19,FBpp0293521,mub,mushroom-body expressed,PSN47329.1,sp|Q61990|PCBP2_MOUSE,K homology RNA-binding domain,PCBP3,KH_1
Dnig.3LG0009130.1,10,FBpp0070281,Rab27,Rab27,PSN33467.1,sp|P23640|RB27A_RAT,GTP binding. It is involved in the biological process described with protein transport,RAB27A,Ras
Dnig.3LG0009220.1,15,,,,,,,,
Dnig.3LG0009250.1,4,FBpp0082798,modSP,modular serine protease,PSN46002.1,sp|Q9VER6|MODSP_DROME,serine-type endopeptidase activity. It is involved in the biological process described with proteolysis,-,"Ldl_recept_a,Sushi,Trypsin"
Dnig.3LG0009260.1,13,,,,,,,,
Dnig.3LG0009520.1,10,FBpp0072160,CG3253,No description,CAD7458351.1,sp|Q66PG1|LARG2_DANRE,Glycosyl-transferase for dystroglycan,LARGE,"Glyco_transf_49,Glyco_transf_8"
Dnig.3LG0009530.1,7,FBpp0082124,Past1,Putative Achaete Scute Target 1,XP_011635084.1,sp|Q641Z6|EHD1_RAT,N-terminal EH-domain containing protein,EHD4,"Dynamin_N,EF-hand_4,EHD_N"
Dnig.3LG0009540.1,17,FBpp0291487,Gyc76C,Guanylyl cyclase at 76C,XP_023718253.1,sp|Q7JQ32|GC76C_DROME,Guanylate cyclase,-,"ANF_receptor,Guanylate_cyc,Pkinase_Tyr"
Dnig.3LG0009550.1,20,,,,,,,,
Dnig.3LG0009640.1,16,FBpp0084623,Gp93,Glycoprotein 93,XP_023718931.2,sp|Q66HD0|ENPL_RAT,unfolded protein binding. It is involved in the biological process described with protein folding,HSP90B1,"HATPase_c,HSP90"
Dnig.3LG0009670.1,2,FBpp0305737,MED10,Mediator complex subunit 10,GFG37006.1,sp|Q16G71|MED10_AEDAE,Transcription factor subunit Med10 of Mediator complex,MED10,Med10
Dnig.3LG0009680.1,13,,,,,,,,
Dnig.3LG0009690.1,9,FBpp0072898,CG32281,No description,KDR19337.1,sp|B5DPF1|TRM5_DROPS,"Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding",TRMT5,Met_10
Dnig.3LG0009700.1,14,FBpp0083879,Ndc1,Nuclear division cycle 1,GFG33996.1,sp|Q8VCB1|NDC1_MOUSE,,,
Dnig.3LG0009730.1,4,,,,XP_021913888.1,sp|Q80V24|VGLL4_MOUSE,Transcription cofactor vestigial-like protein 4,VGLL4,VGLL4
Dnig.3LG0009740.1,3,FBpp0085890,Atg7,Autophagy-related 7,XP_023714893.1,sp|Q5ZKY2|ATG7_CHICK,Atg12 activating enzyme activity,ATG7,"ATG7_N,ThiF"
Dnig.3LG0009750.1,19,FBpp0081704,pont,pontin,XP_023714873.1,sp|Q9DE26|RUVB1_XENLA,"Proposed core component of the chromatin remodeling Ino80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair",RUVBL1,TIP49
Dnig.3LG0009760.1,1,FBpp0078896,Sec61alpha,Sec61 alpha subunit,QBH73749.1,sp|Q9JLR1|S61A2_MOUSE,It is involved in the biological process described with protein transport,Sec61alpha,"Plug_translocon,SecY"
Dnig.3LG0009770.1,19,FBpp0111712,Lar,Leukocyte-antigen-related-like,XP_023703778.1,sp|Q2EY15|PRTG_MOUSE,,,
Dnig.3LG0009780.1,20,FBpp0084655,Moca-cyp,Moca-cyp,XP_021940728.1,sp|P30415|NKTR_MOUSE,Peptidyl-prolyl cis-trans isomerase activity. It is involved in the biological process described with protein folding,PPIG,Pro_isomerase
Dnig.3LG0009800.1,3,FBpp0070859,Spx,Spliceosomal protein on the X,XP_023721040.1,sp|O14102|SAP49_SCHPO,nucleic acid binding,SF3B4,RRM_1
Dnig.3LG0009810.1,8,FBpp0073636,CG11178,No description,XP_023723159.1,sp|Q80U56|AVL9_MOUSE,Uncharacterized conserved protein (DUF2347),AVL9,"Avl9,SPA"
Dnig.3LG0009820.1,18,,,,,,,,
Dnig.3LG0009860.1,9,FBpp0076095,CG10809,No description,QVD39167.1,sp|Q6NXT1|ANR54_HUMAN,Ankyrin repeats (many copies),ANKRD54,"Ank,Ank_2,Ank_5"
Dnig.3LG0009870.1,18,FBpp0300344,scny,scrawny,CAD7195289.1,sp|B3NC86|UBP36_DROER,"Required for maintaining multiple types of adult stem cells, including male and female germline, epithelial follicle cell and intestinal stem cells. May function as a transcriptional repressor by continually deubiquiting histone H2B at the promoters of genes critical for cellular differentiation, thereby preventing histone H3 'Lys-4' trimethylation (H3K4)",USP42,UCH
Dnig.3LG0009880.1,10,FBpp0071539,CG30394,No description,XP_023708614.1,sp|Q6PCF9|S38AA_XENLA,Transmembrane amino acid transporter protein,SLC38A10,Aa_trans
Dnig.3LG0009900.1,10,FBpp0291076,Ntan1,N-terminal amidohydrolase 1,XP_023708674.1,sp|Q28955|NTAN1_PIG,protein-N-terminal asparagine amidohydrolase activity,NTAN1,N_Asn_amidohyd
Dnig.3LG0009940.1,8,,,,,,,,
Dnig.3LG0009950.1,18,FBpp0304832,Edem1,"ER degradation enhancer, mannosidase alpha-like 1",PSN31604.1,sp|Q8BJT9|EDEM2_MOUSE,Belongs to the glycosyl hydrolase 47 family,EDEM2,Glyco_hydro_47
Dnig.3LG0010000.1,4,FBpp0293413,CG43088,No description,XP_035439097.1,sp|Q96MB7|HARB1_HUMAN,DDE superfamily endonuclease,-,DDE_Tnp_4
Dnig.3LG0010010.1,1,FBpp0297069,dally,division abnormally delayed,XP_023725864.1,sp|Q24114|DALY_DROME,Cell surface proteoglycan that bears heparan sulfate,GPC5,Glypican
Dnig.3LG0010020.1,8,FBpp0089312,msn,misshapen,XP_023711824.1,sp|P83510|TNIK_MOUSE,It is involved in the biological process described with protein phosphorylation,msn,"CNH,Pkinase"
Dnig.3LG0010030.1,20,FBpp0077715,ebi,ebi,XP_021930014.1,sp|Q6GPC6|TB1RB_XENLA,F-box-like WD repeat-containing protein,TBL1XR1,"LisH,WD40"
Dnig.3LG0010050.1,5,,,,,,,,
Dnig.3LG0010090.1,20,FBpp0076312,Mcm7,Minichromosome maintenance 7,XP_023709291.1,sp|Q9XYU0|MCM7_DROME,DNA helicase activity. It is involved in the biological process described with DNA replication initiation,MCM7,"MCM,MCM_N,MCM_OB"
Dnig.3LG0010100.1,13,FBpp0074246,CG8142,No description,KAF2894013.1,sp|Q99J62|RFC4_MOUSE,DNA binding. It is involved in the biological process described with DNA replication,RFC4,"AAA,Rep_fac_C"
Dnig.3LG0010110.1,5,FBpp0084281,CG5886,No description,XP_021913373.1,sp|P40222|TXLNA_HUMAN,syntaxin binding,TXLNB,Taxilin
Dnig.3LG0010130.2,12,FBpp0077716,RpLP1,Ribosomal protein LP1,CAD7206070.1,sp|P08570|RLA1_DROME,Belongs to the eukaryotic ribosomal protein P1 P2 family,RPLP1,Ribosomal_60s
Dnig.3LG0010140.1,10,FBpp0073016,CG14977,No description,XP_034238598.1,sp|Q9VZL6|LTOR4_DROME,protein localization to lysosome,LAMTOR4,-
Dnig.3LG0010210.1,8,FBpp0082705,CG5916,No description,XP_023709331.1,sp|Q6GL87|GRTP1_XENTR,Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity,GRTP1,RabGAP-TBC
Dnig.3LG0010240.1,7,FBpp0082705,CG5916,No description,XP_023709331.1,sp|Q6GL87|GRTP1_XENTR,Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity,GRTP1,RabGAP-TBC
Dnig.3LG0010250.1,5,FBpp0290166,Ccs,Copper chaperone for superoxide dismutase,XP_023706523.1,sp|Q6PWT7|CCS_PIG,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,CCS,"HMA,Sod_Cu"
Dnig.3LG0010270.1,11,,,,GFG34331.1,,Uncharacterised protein family (UPF0239),-,UPF0239
Dnig.3LG0010280.1,7,FBpp0297224,Nct,Nicastrin,XP_023713100.1,sp|Q9VC27|NICA_DROME,It is involved in the biological process described with protein processing,NCSTN,Nicastrin
Dnig.3LG0010290.1,3,FBpp0075829,CG7394,No description,XP_041973766.1,sp|Q9VTJ8|TIM14_DROME,DnaJ molecular chaperone homology domain,DNAJC15,DnaJ
Dnig.3LG0010300.1,14,FBpp0082798,modSP,modular serine protease,XP_023702764.1,sp|Q9VER6|MODSP_DROME,,,
Dnig.3LG0010330.1,9,FBpp0081841,CG17187,No description,XP_026285302.1,sp|D3ZSC8|DJC17_RAT,DnaJ molecular chaperone homology domain,DNAJC17,"DnaJ,RRM_1"
Dnig.3LG0010340.1,5,FBpp0071178,IntS4,Integrator 4,XP_023721014.1,sp|Q96HW7|INT4_HUMAN,Integrator complex subunit,INTS4,Cohesin_HEAT
Dnig.3LG0010350.1,5,FBpp0074609,alphaSnap,alpha Soluble NSF attachment protein,XP_023708997.1,sp|Q23983|SNAP_DROME,It is involved in the biological process described with intracellular protein transport,NAPA,SNAP
Dnig.3LG0010370.1,8,FBpp0297359,CG5065,No description,XP_021935111.1,sp|A1ZAI5|FACR1_DROME,Catalyzes the reduction of fatty acyl-CoA to fatty alcohols,-,"NAD_binding_4,Sterile"
Dnig.3LG0010380.1,1,FBpp0087533,CG1441,No description,QVD39571.1,sp|A1ZAI5|FACR1_DROME,Catalyzes the reduction of fatty acyl-CoA to fatty alcohols,-,"NAD_binding_4,Sterile"
Dnig.3LG0010480.1,16,FBpp0305020,ppk26,pickpocket 26,XP_026472958.1,sp|Q86LG1|PPK28_DROME,,,
Dnig.3LG0010560.1,5,FBpp0079738,CG12253,No description,XP_008187181.1,sp|Q17QR8|HARB1_BOVIN,nuclease activity,-,DDE_Tnp_4
Dnig.3LG0010660.1,15,,,,CAD7264349.1,sp|Q54271|PPD_STRHY,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",-,"TPP_enzyme_C,TPP_enzyme_N"
Dnig.3LG0010670.1,20,,,,XP_023726839.1,sp|Q6DGQ4|CP087_DANRE,Chromosome 16 open reading frame 87,C16orf87,UPF0547
Dnig.3LG0010680.1,3,FBpp0075967,Pfdn2,Prefoldin 2,PSN35961.1,sp|Q9UHV9|PFD2_HUMAN,unfolded protein binding. It is involved in the biological process described with protein folding,PFDN2,Prefoldin_2
Dnig.3LG0010710.1,4,,,,,,,,
Dnig.3LG0010720.1,12,FBpp0076545,BHD,Birt-Hogg-Dube,CAD7262379.1,sp|Q5M7Q1|FLCN_XENTR,Vesicle coat protein involved in Golgi to plasma membrane transport,FLCN,"Folliculin,Folliculin_C"
Dnig.3LG0010730.1,4,FBpp0076602,RpL18,Ribosomal protein L18,KAF5304418.1,sp|Q4GXG7|RL18_TIMBA,Structural constituent of ribosome. It is involved in the biological process described with,RPL18,Ribosomal_L18
Dnig.3LG0010740.1,19,FBpp0087863,Pabp2,Pabp2,XP_026480943.1,sp|P42696|RBM34_HUMAN,,,
Dnig.3LG0010760.1,4,FBpp0081386,CG11755,No description,GFG40461.1,sp|Q0VCH3|CDPF1_BOVIN,"Cysteine-rich, DPF motif domain containing 1",CDPF1,C6_DPF
Dnig.3LG0010770.1,6,FBpp0080510,CG12288,No description,KAG8036653.1,sp|Q5M9F1|RBM34_RAT,RNA binding,RBM34,RRM_1
Dnig.3LG0010800.1,17,FBpp0082496,GlyS,Glycogen synthase,XP_021926378.1,sp|Q9VFC8|GYS_DROME,"Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan",GYS2,Glycogen_syn
Dnig.3LG0010810.1,11,FBpp0080604,Fas3,Fasciclin 3,XP_033610488.1,sp|P15278|FAS3_DROME,coreceptor-mediated virion attachment to host cell,Fas3,"C2-set_2,I-set"
Dnig.3LG0010870.1,13,FBpp0302902,UQCR-6.4,Ubiquinol-cytochrome c reductase 6.4 kDa subunit,RZB39045.1,,Electron carrier activity,UQCR11,UCR_6-4kD
Dnig.3LG0011030.1,1,,,,XP_023712369.1,sp|Q8C0Y0|PP4R4_MOUSE,,,
Dnig.3LG0011040.1,1,FBpp0301153,Cdc42,Cdc42,PNF28842.1,sp|Q7L0Q8|RHOU_HUMAN,Rho (Ras homology) subfamily of Ras-like small GTPases,-,Ras
Dnig.3LG0011050.1,10,FBpp0290471,CG42557,No description,KDR16572.1,,Coiled-coil domain containing 32,-,CCDC32
Dnig.3LG0011080.1,7,FBpp0075983,CG8009,No description,XP_021923535.1,sp|Q5M8F7|NEPR1_XENTR,It is involved in the biological process described with positive regulation of protein dephosphorylation,CNEP1R1,Tmemb_18A
Dnig.3LG0011090.1,7,,,,XP_023712369.1,sp|Q6NUP7|PP4R4_HUMAN,regulation of protein serine/threonine phosphatase activity,PPP4R4,HEAT
Dnig.3LG0011140.1,14,FBpp0310356,Tgs1,Trimethylguanosine synthase 1,XP_021933863.1,sp|Q96RS0|TGS1_HUMAN,Putative RNA methylase family UPF0020,TGS1,Methyltransf_15
Dnig.3LG0011150.1,7,FBpp0073413,CG15739,No description,GFG35743.1,sp|Q2T9S4|PGP_BOVIN,Belongs to the HAD-like hydrolase superfamily,-,"Hydrolase_6,Hydrolase_like"
Dnig.3LG0011160.1,17,FBpp0302592,CG1628,No description,GFG35739.1,sp|A0A0G2K309|ORNT1_RAT,Belongs to the mitochondrial carrier (TC 2.A.29) family,SLC25A15,Mito_carr
Dnig.3LG0011170.1,11,FBpp0087044,Lac,Lachesin,CAD7424595.1,sp|Q26474|LACH_SCHAM,Immunoglobulin V-set domain,-,"I-set,Ig_3"
Dnig.3LG0011180.1,11,FBpp0081800,Sodh-2,Sorbitol dehydrogenase-2,XP_021918601.1,sp|Q4R0J7|ARD1_UROFA,Alcohol dehydrogenase GroES-like domain,-,"ADH_N,ADH_zinc_N,Glu_dehyd_C"
Dnig.3LG0011190.1,20,,,,PSN45211.1,,FLYWCH zinc finger domain,-,FLYWCH
Dnig.3LG0011200.1,8,FBpp0073935,CG8924,No description,PNF25819.1,sp|Q9W0K7|BAB1_DROME,"Broad-Complex, Tramtrack and Bric a brac",-,"BTB,FLYWCH,zf-BED"
Dnig.3LG0011210.1,7,FBpp0081302,CG9636,No description,CAD7405284.1,sp|Q6TLH3|CUED2_DANRE,CUE domain-containing protein,CUEDC2,CUE
Dnig.3LG0011310.1,20,FBpp0074302,Mvb12,Multivesicular body subunit 12,XP_023707621.1,sp|Q9H7P6|MB12B_HUMAN,Multivesicular body subunit,MVB12B,DUF2464
Dnig.3LG0011320.1,6,FBpp0084668,Hrb98DE,Heterogeneous nuclear ribonucleoprotein at 98DE,PSN41254.1,sp|P21522|ROA1_SCHAM,nucleic acid binding,HNRNPA2B1,"HnRNPA1,RRM_1"
Dnig.3LG0011330.1,6,FBpp0301605,HP1b,Heterochromatin Protein 1b,XP_021918524.1,sp|P23198|CBX3_MOUSE,Chromo Shadow Domain,CBX1,"Chromo,Chromo_shadow"
Dnig.3LG0011350.1,6,FBpp0070650,mRpL30,mitochondrial ribosomal protein L30,KAG8238718.1,sp|Q58DV5|RM30_BOVIN,Ribosomal protein L30p/L7e,Mrpl30,Ribosomal_L30
Dnig.3LG0011360.1,13,FBpp0073367,CG1703,No description,XP_023713852.1,sp|Q6MG08|ABCF1_RAT,"ATP-binding cassette, subfamily F, member",ABCF1,"ABC_tran,ABC_tran_Xtn"
Dnig.3LG0011370.1,2,FBpp0303423,hep,hemipterous,XP_021937189.1,sp|O14733|MP2K7_HUMAN,It is involved in the biological process described with protein phosphorylation,MAP2K7,Pkinase
Dnig.3LG0011450.1,7,FBpp0113033,St1,Sulfotransferase 1,CAD7574879.1,sp|A0A173GP47|LST_PHOPY,Sulfotransferase domain,-,Sulfotransfer_1
Dnig.3LG0011460.1,16,FBpp0113033,St1,Sulfotransferase 1,XP_026469683.1,sp|A0A173GP47|LST_PHOPY,Sulfotransferase domain,-,Sulfotransfer_1
Dnig.3LG0011490.1,7,FBpp0113033,St1,Sulfotransferase 1,XP_022184434.1,sp|A0A173GP47|LST_PHOPY,Sulfotransferase domain,-,Sulfotransfer_1
Dnig.3LG0011520.1,1,,,,CAD7404129.1,,-,-,-
Dnig.3LG0011580.1,8,,,,GFG30402.1,,,,
Dnig.3LG0011590.1,14,FBpp0086020,Dlish,Dachs ligand with SH3s,XP_021920848.1,sp|A1ZAY1|DLISH_DROME,Src homology 3 domains,-,"SH3_1,SH3_2,SH3_9"
Dnig.3LG0011600.1,6,FBpp0071771,bonsai,bonsai,XP_023706330.1,sp|Q8WTC1|RT15_DROME,Belongs to the universal ribosomal protein uS15 family,MRPS15,Ribosomal_S15
Dnig.3LG0011610.1,8,FBpp0079702,CG12299,No description,,sp|Q52M93|Z585B_HUMAN,,,
Dnig.3LG0011620.1,12,FBpp0082962,DNaseII,Deoxyribonuclease II,XP_021933690.1,sp|O00115|DNS2A_HUMAN,Deoxyribonuclease II activity. It is involved in the biological process described with DNA metabolic process,crn-7,DNase_II
Dnig.3LG0011630.1,12,FBpp0071384,Neb-cGP,Neb-cGP,PNF40344.1,sp|Q78IK2|ATPMD_MOUSE,ATP synthase regulation,Neb-cGP,ATP_synth_reg
Dnig.3LG0011640.1,18,FBpp0070062,G9a,G9a,KDR11973.1,sp|Q9H9B1|EHMT1_HUMAN,It is involved in the biological process described with histone lysine methylation,EHMT1,"Ank_2,Ank_4,Pre-SET,SET"
Dnig.3LG0011650.1,17,FBpp0298324,cac,cacophony,XP_021933719.1,sp|C9D7C2|CAC1A_APIME,Ion transport protein,cac,"Ca_chan_IQ,GPHH,Ion_trans"
Dnig.3LG0011660.1,5,,,,XP_021928103.1,sp|Q8BHC7|RHBL4_MOUSE,Rhomboid family,RHBDD1,Rhomboid
Dnig.3LG0011670.1,10,FBpp0297907,Oscillin,Oscillin,CAD7600584.1,sp|Q16HW7|GNPI_AEDAE,Glucosamine-6-phosphate isomerase,GNPDA1,Glucosamine_iso
Dnig.3LG0011710.1,16,FBpp0082183,CG7966,No description,PSN38126.1,sp|Q569D5|SBP1_XENTR,Selenium binding,-,SBP56
Dnig.3LG0011720.1,15,FBpp0300568,Arl4,ADP ribosylation factor-like 4,GFG39321.1,sp|P61214|ARL4A_RAT,GTP binding. It is involved in the biological process described with small GTPase mediated signal transduction,ARL4C,Arf
Dnig.3LG0011760.1,15,FBpp0300568,Arl4,ADP ribosylation factor-like 4,GFG39321.1,sp|P61214|ARL4A_RAT,GTP binding. It is involved in the biological process described with small GTPase mediated signal transduction,ARL4C,Arf
Dnig.3LG0011800.1,11,FBpp0081733,hth,homothorax,XP_021914596.1,sp|O46339|HTH_DROME,"DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated",MEIS2,"Homeobox_KN,Meis_PKNOX_N"
Dnig.3LG0011810.1,7,FBpp0081809,Tpc1,Thiamine pyrophosphate carrier protein 1,CAD7406826.1,sp|Q29RM1|TPC_BOVIN,Belongs to the mitochondrial carrier (TC 2.A.29) family,SLC25A19,Mito_carr
Dnig.3LG0011840.1,2,FBpp0303797,Mlh1,Mlh1,XP_034238564.1,sp|Q9UHC1|MLH3_HUMAN,MutL C terminal dimerisation domain,MLH3,"DNA_mis_repair,HATPase_c,HATPase_c_3,MutL_C"
Dnig.3LG0011850.1,6,,,,KDR21292.1,,,,
Dnig.3LG0011860.1,3,FBpp0080052,Nnp-1,Nnp-1,XP_026278508.1,sp|Q9VJZ7|RRP1L_DROME,It is involved in the biological process described with rRNA processing,RRP1B,Nop52
Dnig.3LG0011870.1,16,FBpp0076237,GNBP3,Gram-negative bacteria binding protein 3,XP_021916551.1,sp|Q76DI2|BGBP_TENMO,"Hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with carbohydrate metabolic process",GNBP3,"CBM39,Glyco_hydro_16"
Dnig.3LG0011880.1,6,FBpp0312340,CG14544,No description,XP_023709480.1,sp|Q6AY46|TRM61_RAT,"Catalytic subunit of tRNA (adenine-N(1)-)- methyltransferase, which catalyzes the formation of N(1)- methyladenine at position 58 (m1A58) in initiator methionyl-tRNA",TRMT61A,GCD14
Dnig.3LG0011920.1,8,FBpp0073073,Ero1L,Endoplasmic reticulum oxidoreductin-1-like,XP_023709435.1,sp|Q9V3A6|ERO1L_DROME,Endoplasmic Reticulum Oxidoreductin 1 (ERO1),ERO1LB,ERO1
Dnig.3LG0011930.1,9,FBpp0081842,GCC88,GRIP and coiled-coil domain containing 88 kDa,XP_023709438.1,sp|Q96CN9|GCC1_HUMAN,It is involved in the biological process described with protein targeting to Golgi,GCC1,GRIP
Dnig.3LG0011940.1,6,FBpp0080284,CIAPIN1,Cytokine induced apoptosis inhibitor 1,XP_023726156.1,sp|C3YFB4|DRE2_BRAFL,Component of the cytosolic iron-sulfur (Fe-S) protein assembly (CIA) machinery. Required for the maturation of extramitochondrial Fe-S proteins. Part of an electron transfer chain functioning in an early step of cytosolic Fe-S biogenesis. Electrons are transferred to the Fe-S cluster from NADPH via a FAD- and FMN-containing diflavin oxidoreductase. Has anti- apoptotic effects in the cell,CIAPIN1,"CIAPIN1,Methyltransf_11"
Dnig.3LG0011950.1,14,FBpp0081828,CG17726,No description,XP_023709440.1,sp|Q9VGR2|NDUF7_DROME,Arginine methyltransferase involved in the assembly or stability of mitochondrial NADH ubiquinone oxidoreductase complex (complex I),NDUFAF7,Methyltransf_28
Dnig.3LG0011980.1,7,FBpp0078187,l(3)04053,lethal (3) 04053,XP_021916541.1,sp|Q96C92|ENTR1_HUMAN,"retrograde transport, endosome to plasma membrane",Sdccag3,-
Dnig.3LG0011990.1,17,FBpp0078188,CG11241,No description,XP_018906400.1,sp|Q17QF0|AGT2_BOVIN,Aminotransferase class-III,AGXT2,Aminotran_3
Dnig.3LG0012010.1,15,,,,KAE9522182.1,,Myb/SANT-like DNA-binding domain,-,Myb_DNA-bind_5
Dnig.3LG0012020.1,4,FBpp0078180,CG11367,No description,XP_021916542.1,sp|Q6YI46|TMM64_HUMAN,SNARE associated Golgi protein,TMEM64,SNARE_assoc
